種類,公司類型,招聘職位,薪金,公司名稱,學歷,經驗/技能,職責
電腦技術員,資訊科技業,雲技術工程師,"$25,000-$30,000/按月",廣州市中智軟件開發有限公司澳門分公司,"高等教育,計算機相關專業,大學計算機/電腦科學/軟件工程或信息管理本科畢業或以上,廣東話良好;普通話良好",2年相關工作經驗,職責： 1、領導與協調整個項目中的技術活動（分析、設計和實施等）； 2、推動主要的技術决策，並最終表達爲軟件構架； 3、統籌編寫技術文檔，包括系統的需求、設計、實施和部署等“視圖”； 4、理解、評價並接收系統需求； 5、評價和確認軟件架構的實現。 任職條件： 3、對以下任兩種編程語言具有駕馭能力：php編程、Java編程或.Net編程； 4、精通及駕馭數據庫：如MySQL、SQL Server、Oracle； 5、熟悉Linux環境、懂得搭建和操作； 6、有數據挖掘、網絡搜索系統有認識及經驗者優先； 7、具備自學能力、分析能力、解决問題的能力； 8、品德端正、無不良嗜好、具備良好的團體合作精神； 9、良好的普通話及廣東話讀寫能力。
電腦技術員,銀行及金融中介,系統測試工程師,"$25,000/按月",大豐銀行股份有限公司,"高等教育,大學畢業或以上學歷，主修計算機、軟件工程或相關專業,廣東話一般;普通話良好;英語一般",5年相關工作經驗;專業資格:具5年測試管理及銀行業務相關工作經驗,負責銀行系統及軟件測試與相關品質保障工作
電腦技術員,電腦公司,高級網絡技術服務工程師,"$24,000-$25,000/按月",萬訊電腦科技有限公司,"高等教育,擁有計算機工程學位,廣東話良好;英語良好",3年相關工作經驗;專業資格:熟悉使用網絡設備，如:網絡交換機、防火牆、無線網接收器。擁有Cisco CCNA、CCNP或同等專業資格優先,安裝及設置各種資訊網絡系統，為網絡系統進行功能設定及調試，對網絡系統所出現的故障作出診斷及排除，編訂網絡系統設置架構、設定及使用說明，為客戶的網絡系統作定期的維護及保養。
電腦技術員,管理公司本司的商業出資,網絡分析師,"$23,000-$30,000/按月",信德集團控股（澳門）有限公司,"高等教育,廣東話良好;普通話良好;英語一般",5年相關工作經驗,"- Perform computer network technical support and management tasks independently; - Perform technical support to PC, related peripherals and OA software, E-mail system, Internet, Intranet, websites, user application systems, system software and hardware at disaster recovery site independently; - Perform hardware and software administration tasks; - Perform research and development task on new hardware and software;"
安全督導員,工程公司,土木工程監察員,"$20,000/按月",布法蘭土木工程有限公司,"高等教育,null",2年相關工作經驗,
安全督導員,工程公司,技術督導員,"$18,000-$20,000/按月",敏達工程有限公司,"高等教育,廣東話良好;普通話良好;英語良好",5年相關工作經驗;專業資格:需具備相關工作經驗，熟悉土建結構及椿基礎等工程施工技術及管理督導工作。,負責協助地盤管理及技術督導等工作。
安全督導員,建築,安全督導員,"$16,000-$20,000/按月",新華建築置業有限公司,"不論學歷,廣東話一般;普通話一般",1年相關工作經驗;職業技能:要處理職安文書工作;專業資格:如有其他與職安工序相關證書者更佳,
安全督導員,,技術及督導員,"$15,000/按月",安泰消防工程有限公司,"小學教育,廣東話一般",2年相關工作經驗,"－負責現場監工, 技術指導,及協助安全施工等工作規範； －定期向主管滙報工作，正確使用工具，確保工作環境安全。"
會計,倉儲及旅遊服務,會計主任,"$16,000-$20,000/按月",東瀛遊,"高中教育,廣東話良好;普通話一般;英語一般",6年相關工作經驗,1)負責管理澳門分行的日常會計及財務工作 2)核對各項數據及編制財務報表 3)安排並核實存入銀行戶口之現金及支票 4)整理文件作年度報稅及核對
會計,物業管理公司,會計主任,"$15,000-$18,000/按月",旭日-物業設施管理有限公司,"高中教育,廣東話良好;普通話一般;英語一般",5年相關工作經驗,1.負責財務部日常會計運作及收支帳目管理；2.需獨立處理全盤帳目；3
醫生,醫療及衛生服務,醫生 (內科),"$40,000-$45,000/按月",科大醫院,"高等教育,廣東話良好;普通話良好;英語良好",,
醫生,醫療及衛生服務,醫生(耳鼻喉科),"$30,000/按月",科大醫院,"高等教育,臨床醫學學士學位,廣東話良好;普通話一般;英語良好",15年相關工作經驗,
電影助理監製,電視台,節目監製,"$25,000-$30,000/按月",澳門蓮花衛視傳媒有限公司,"高等教育,廣東話一般;普通話良好;英語良好",5年相關工作經驗;專業資格:了解電視台各崗位流程，具備較強的組織和溝通能力,具備較強的執行力、領導力，能組織策劃和督導製作專業類節目，推動並實施。
電影助理監製,演藝公司,製作總監,"$12,000/按月",年代未來(澳門)演藝有限公司,"高等教育,大專程度或以上,廣東話良好;普通話良好;略懂英語",2年相關工作經驗,負責演唱會製作，配合導演完成各項表演製作。
職業治療師,社團,職業治療師,"$15,000-$20,000/按月",澳門特殊奧運會,"高等教育,職業治療專業畢業或以上程度,廣東話一般;普通話一般;英語一般",專業資格:能獨立處理及提供優質之專業職業治療服務；必須有良好的溝通技巧及專業操守,負責提供有特殊教育需要的人士職業治療服務
船長,船務公司,本地航行船舶之駕長,"$17,000-$30,000/按月",信德中旅船務管理(澳門)有限公司,"高中教育,持有本地航行船舶之駕長證書,廣東話一般;普通話良好;英語良好","2年相關工作經驗;職業技能:持有相關職及之適任証書(沿海, 100總噸及從上);專業資格: 持有相關職級之適任証書(沿海、100總噸及從上)",1.駕駛本地航行之高速客船; 2. 維持安全航行、系泊安全操作; 3.處理客務及行李。
質量控制技術員,清潔公司,環保顧問,"$35,000-$50,000/按月",清朗環保顧問有限公司,"高等教育,大學畢業或以上(環保專業或相關項目資格),廣東話良好;普通話良好;英語良好",5年相關工作經驗,"為客戶提供空氣檢驗, 測試及其他有關環保的建議和技術支援(可代客戶申請檢測機構質檢報告)"
